('mihr', ['gâlib', 'ver', 'gül', 'çeşm', 'dil', 'aşk', 'cân', 'gel', 'zülf', 'leb'])
('nimet', ['piyâle', 'yyeden', 'hâs', 'ruh', 'dî', 'kemâl', 'rûzgâr', 'ilâhî', 'edicek', 'yan'])
('yezdân', ['zühd', 'pây', 'peyveste', 'târz', 'kûy', 'tama’', 'seher', 'sad', 'başla', 'hâcet'])
('yek', ['düş', 'gör', 'hazret', 'aşkın', 'cihân', 'mey', 'kıl', 'söyle', 'suhan', 'gâlib'])
('gâhî', ['eger', 'sırr', 'gelir', 'hâk', 'man', 'âb', 'dî', 'b', 'şem’', 'bâg'])
('geh', ['sultân', 'ver', 'gâlib', 'dil', 'san', 'zülf', 'safâ', 'gül', 'âb', 'âteş'])
('gurûb', ['suhan-ver', 'hôşâ', 'bîşe', 'monlâyâ', 'âhû-yı', 'kaşı', 'nisyân', 'bikr', 'beyâbân', 'gû'])
('geç', ['gör', 'cân', 'çeşm', 'gâlib', 'gül', 'gel', 'san', 'kıl', 'himmet', 'ban'])
('dâim', ['san', 'gâlib', 'gel', 'şâh', 'ver', 'mihr', 'mey', 'safâ', 'mâh', 'zülf'])
('ver', ['gâlib', 'dil', 'aşk', 'çeşm', 'kıl', 'âlem', 'mihr', 'zülf', 'cân', 'kal'])
('fer', ['desem', 'rişte', 'devrân', 'ülfet', 'esbâb', 'sefîd', 'zâhid', 'şâhid', 'çerâg', 'câm'])
('ubûdiyyet', ['bî-pâyân', 'revzen', 'intizâm', 'âgûş', 'teslîm', 'düz', 'şevket', 'mâtem', 'iksîr', 'çeker'])
('şev', ['görel', 'takdîr', 'zübde', 'kandîl', 'harem', 'gülle', 'sûd', 'kışla', 'tenvîr', 'almadan'])
('cihân', ['gâlib', 'çeşm', 'aşk', 'dil', 'ver', 'gül', 'âlem', 'anı', 'yâr', 'zülf'])
('zîver', ['hümâ', 'lâzım', 'gayret', 'naza', 'es’ad', 'ter', 'hâtır', 'sâhib', 'güher', 'behişt'])
('midhat', ['mürşid', 'bas', 'elmâs', 'elde', 'şevk', 'havf', 'efsâne', 'has', 'edâ', 'velî'])
('şükr', ['zamân', 'allâh', 'rûşen', 'cây', 'bend', 'görü', 'devrân', 'gûyâ', 'esrâr', 'berk'])
('ş', ['meh', 'mâh', 'ver', 'dil', 'sultân', 'aşk', 'ban', 'kıl', 'râh', 'rûh'])
('şekk', ['rûhsâr', 'târafdan', 'b-', 'ma’mûre', 'tezk', 'buhûr', 'gendüm', 'rengîne', 'zikr', 'müjde'])
('bîgâne', ['mey', 'râh', 'mâh', 'dil', 'reng', 'âlem', 'gör', 'erbâb', 'gam', 'hat'])
('tavr', ['bahâr', 'gâlib', 'câm', 'gör', 'safâ', 'çeşm', 'ver', 'âlem', 'nûr', 'âb'])
('edeb', ['gûş', 'kal', 'rûz', 'cân', 'girdâb', 'değeri', 'efend', 'bahâr', 'gön', 'çık'])
('çarh', ['gâlib', 'ver', 'aşk', 'dil', 'zülf', 'lutf', 'kıl', 'mihr', 'gül', 'çeşm'])
('sitemger', ['çerâgan', 'semâ-hâne', 'kemend', 'melâmet', 'i’câz', 'komazlar', 'mahâbbetdir', 'safâ-bahş', 'cerîde', 'nâçîz'])
('zebân', ['kıl', 'çarh', 'gam', 'gel', 'san', 'pîr', 'cân', 'gül', 'âlem', 'yâr'])
('dehân', ['âh', 'mülk', 'hâl', 'meger', 'dil', 'hâk', 'kal', 'çık', 'gâlib', 'subh'])
('pîr', ['gâlib', 'gam', 'feyz', 'dil', 'âlem', 'cân', 'çeşm', 'aşk', 'kıl', 'ver'])
('âyât', ['alır', 'haste', 'edince', 'hâmil', 'evc', 'etdigi', 'beyân', 'bulun', 'halk', 'tîi'])
('lutf', ['ver', 'gâlib', 'aşk', 'dil', 'çarh', 'âteş', 'mihr', 'âlem', 'yâr', 'çeşm'])
('ezber', ['sür', 'âyâ', 'çi', 'mesîh', 'der-s', 'çeki', 'zann', 'çıkar', 'îş', 'feth'])
('san', ['çeşm', 'gâlib', 'ver', 'gel', 'dil', 'gül', 'ehl', 'zülf', 'ban', 'kal'])
('felek', ['zülf', 'ver', 'gül', 'cân', 'aşk', 'çeşm', 'subh', 'yâr', 'hâl', 'gâlib'])
('tıfl', ['kıl', 'ver', 'gâlib', 'âşık', 'nûr', 'gül', 'dest', 'dil', 'mey', 'kal'])
('hân', ['cihân', 'ver', 'hazret', 'aşk', 'sultân', 'çeşm', 'mihr', 'dil', 'gâlib', 'gül'])
('perver', ['revzen', 'seyf', 'eylez', 'gön', 'selîm', 'kemâl', 'sûret', 'nahl', 'manâ-yı', 'meclis'])
('pervâne', ['dil', 'cân', 'aşk', 'âb', 'gül', 'kıl', 'yâr', 'zülf', 'gâlib', 'ver'])
('şem', ['devr', 'dî', 'söz', 'tîr', 'et', 'sîne', 'şu’le', 'siyeh', 'gam', 'âteş'])
('tecellî', ['himmet', 'subh', 'dest', 'lutf', 'çerâg', 'çemen', 'ban', 'rûh', 'hak', 'kal'])
('hudâ', ['feyz', 'âlem', 'hazret', 'ver', 'gam', 'bul', 'çeşm', 'dil', 'safâ', 'gâlib'])
('devr', ['âteş', 'düş', 'cihân', 'aşk', 'çeşm', 'et', 'gâlib', 'cân', 'mihr', 'san'])
('sipihr', ['âteş', 'âlem', 'gâlib', 'bil', 'cihân', 'zülf', 'san', 'dil', 'anı', 'ehl'])
('âfâk', ['bahâr', 'sûret', 'gül', 'cân', 'gel', 'ver', 'aşkın', 'hüsnü', 'dest', 'mehtâb'])
('serâser', ['sırr', 'hüsnü', 'hurşîd', 'mey', 'câm', 'mevc', 'cân', 'sâye', 'bâd', 'gör'])
('feyz', ['çeşm', 'gâlib', 'dil', 'âlem', 'ver', 'gam', 'hazret', 'aşk', 'gör', 'kıl'])
('pes', ['sıddîk', 'selsebîl', 'münkir', 'âyîneden', 'deiil', 'farz', 'deryâ-yı', 'ferş', 'bahş', 'nisbet'])
('giyâh', ['rey', 'ejder', 'olay', 'nümâyândır', 'eyvân', 'bai', 'mısr', 'mis', 'vâlide', 'veh'])
('zemîn', ['âşık', 'şâh', 'gâlib', 'rûz', 'hazret', 'zülf', 'feyz', 'et', 'gel', 'anı'])
('hudâyâ', ['ken', 'tâvûs', 'hatâ', 'nümâyândır', 'etmede', 'mehd', 'merâm', 'unut', 'mahâbbet', 'cevâb'])
('kavl', ['zâhid', 'sebz', 'perîşân', 'yâkût', 'gerdûn', 'güher', 'yol', 'meger', 'nûr', 'lâzım'])
('hakîm', ['bâb', 'bedr', 'mevlânâdır', 'eser', 'küşâd', 'gürûh', 'ümmîd', 'dâmen', 'vücûd', 'nisbet'])
('işrâk', ['cennet', 'galat', 'man', 'hümâ-yı', 'âyîneden', 'reşk', 'baht', 'kalem', 'esîr', 'revzen'])
('kıl', ['gâlib', 'dil', 'ver', 'çeşm', 'gör', 'aşk', 'yâr', 'nûr', 'gül', 'âlem'])
('münevver', ['âşık', 'dîde', 'nâm', 'çarh', 'mehtâb', 'subh', 'hatt', 'câm', 'reng', 'zülf'])
('emr', ['nigâh', 'nûr', 'gül', 'ver', 'mihr', 'himmet', 'gel', 'çeşm', 'hüsnü', 'cân'])
('fermân', ['leb', 'subh', 'yâd', 'seyr', 'dest', 'düş', 'hüsn', 'nigâh', 'per', 'bil'])
('mevlâ', ['sultân', 'bezm', 'gam', 'lutf', 'anı', 'aşk', 'mihr', 'âlem', 'çeşm', 'âteş'])
('sor', ['gamze', 'mevc', 'gül', 'kal', 'âşık', 'zülf', 'ehl', 'çeşm', 'bak', 'leb'])
('mîh', ['vâdî', 'yaz', 'devri', 'etdigi', 'selsebîl', 'iste', 'recâ', 'kevn', 'râhmet', 'kafes'])
('nâm', ['lutf', 'ver', 'gâlib', 'hâl', 'gül', 'gel', 'safâ', 'cân', 'mihr', 'aşk'])
('ulvî', ['envâ', 'hâb', 'şîr', 'derûn', 'serâser', 'ye’s', 'burc', 'sıddîk', 'reng', 'âyîn'])
('güher', ['çeşm', 'zîr', 'gel', 'nûr', 'bezm', 'gâlib', 'gamze', 'aşk', 'bahâr', 'hüsn'])
('nakş', ['cihân', 'mihr', 'âlem', 'zülf', 'gül', 'pîr', 'çeşm', 'gâlib', 'ver', 'gel'])
('şân', ['hayret', 'zülf', 'bul', 'sipihr', 'devlet', 'şâh', 'görü', 'âlem', 'seyr', 'anı'])
('ney', ['gâlib', 'mihr', 'gül', 'ver', 'aşk', 'cihân', 'dil', 'gel', 'kal', 'hazret'])
('süllem', ['hışt', 'değeriz', 'taş', 'heker', 'etdikçe', 'sevdâ-yı', 'yoiise', 'neşter', 'nakkâş', 'yarı'])
('bahş', ['seyr', 'çarh', 'san', 'safâ', 'bak', 'devlet', 'gam', 'mihr', 'anı', 'leb'])
('sultân', ['gâlib', 'dil', 'ver', 'aşk', 'çeşm', 'dah', 'mihr', 'âlem', 'hâl', 'kıl'])
('arş', ['ney', 'gamze', 'mehtâb', 'ver', 'gâlib', 'şu’le', 'kal', 'hazret', 'mey', 'düş'])
('ferş', ['subh', 'himmet', 'bul', 'düş', 'şâh', 'çarh', 'gam', 'yâr', 'gevher', 'gâlib'])
('per', ['gör', 'subh', 'gâlib', 'çeşm', 'himmet', 'zülf', 'san', 'gül', 'âlem', 'mevc'])
('bâl', ['âlem', 'ver', 'lutf', 'çeşm', 'nûr', 'gâlib', 'san', 'cihân', 'feyz', 'âb'])
('subh', ['gâlib', 'ver', 'zülf', 'gül', 'cân', 'mihr', 'aşk', 'çeşm', 'dil', 'mey'])
('mâ', ['âb', 'kal', 'bâl', 'sultân', 'şu’le', 'dil', 'ver', 'ban', 'cihân', 'söyle'])
('aşk', ['dil', 'gâlib', 'cân', 'çeşm', 'ver', 'zülf', 'kıl', 'gül', 'mihr', 'hazret'])
('kef', ['çarh', 'hurşîd', 'mihr', 'kâkül', 'aşk', 'eşk', 'yâd', 'hat', 'ver', 'hazret'])
('efsûs', ['sevâd', 'çemen', 'cûş', 'gece', 'nûr', 'tıfl', 'kâr', 'niçe', 'nev', 'deiil'])
('pehlevân', ['kumâş', 'tebessüm', 'dede', 'figân', 'zencîr', 'şem', 'dûş', 'resm', 'kilk', 'devri'])
('çevgân', ['mâr', 'şehîd', 'şekve', 'şâyeste', 'kurs', 'eşcâr', 'tarîk', 'n’idiiin', 'kibâr', 'çekz'])
('gûy', ['bul', 'hayret', 'gönül', 'san', 'gâlib', 'meger', 'hüsnü', 'meh', 'gevher', 'devlet'])
('medâr', ['görü', 'kadr', 'fikr', 'belâ', 'murg', 'meh', 'gelir', 'hâk', 'eyleyip', 'tâk'])
('gerdiş', ['semmûr', 'revzen', 'cbn', 'kâşif', 'sahr', 'efser', 'farz', 'ye’s', 'sükûn', 'begim'])
('haybe', ['îsî', 'dîrîne', 'câdû', 'merhem', 'tahsîn', 'çâre', 'etdikde', 'esîr', 'inan', 'deger'])
('bedr', ['lutf', 'eyleyip', 'hâk', 'efendi', 'kal', 'gürûh', 'hüsn', 'anı', 'çarh', 'cân'])
('söyle', ['gül', 'dil', 'çeşm', 'kıl', 'gâlib', 'cân', 'gel', 'ver', 'dest', 'hüsnü'])
('tehâlüf', ['merbût', 'sevdâya', 'bî-pervâ', '–i', 'nabz', 'mecbûr', 'oldugu', 'söyleyeyim', 'îsâr', 'silk'])
('güz', ['zevk', 'ihyâ', 'dâg', 'kalem', 'uşşâk', 'gelir', 'berg', 'ferş', 'hurşîd', 'zâhid'])
('adli', ['tevfîk', 'hâtır', 'ruh', 'çıkar', 'âşık', 'hakîkat', 'murg', 'çık', 'kâr', 'nigeh'])
('seyr', ['âlem', 'ver', 'çeşm', 'san', 'gâlib', 'bul', 'gül', 'kal', 'cân', 'yâr'])
('berâber', ['ikbâl', 'gürûh', 'bülbül', 'sâkî', 'devr', 'efend', 'bahş', 'tîr', 'gösteri', 'dâmen'])
('hey', ['harîm', 'çü', 'ter', 'rütbe', 'sıdk', 'göz', 'âftâb', 'meclis', 'man', 'hâme'])
('unsur', ['alır', 'desem', 'kâfi', 'dehr', 'yohsa', 'deryâ-yı', 'çîn', 'dildâr', 'nâm', 'şân'])
('ebr', ['ney', 'gül', 'gâlib', 'cihân', 'âlem', 'sûret', 'hazret', 'aşk', 'hurşîd', 'ver'])
('dest', ['gül', 'gâlib', 'ver', 'çeşm', 'aşk', 'dil', 'gör', 'hâl', 'hazret', 'yâr'])
('zeyn', ['top', 'deiil', 'ümmîd', 'murg', 'etdim', 'bülend', 'mâhtâb', 'haste', 'belâ', 'şeref'])
('ebrû', ['zülf', 'nigâh', 'âteş', 'ver', 'gel', 'âlem', 'aşk', 'hatt', 'yâr', 'bak'])
('burc', ['çarh', 'ver', 'mihr', 'subh', 'anı', 'hatt', 'gâlib', 'leb', 'dest', 'yâr'])
('cenâb', ['gâlib', 'ver', 'gül', 'dest', 'gel', 'çeşm', 'cân', 'dil', 'mihr', 'âlem'])
('melek', ['sûret', 'ban', 'söyle', 'âb', 'hicrân', 'leb', 'bezm', 'bâg', 'gevher', 'la’l'])
('sadef', ['gül', 'çarh', 'gâlib', 'lutf', 'hatt', 'kasr', 'bul', 'ets', 'mihr', 'çeşm'])
('olamaz', ['rûz', 'nâz', 'hazret', 'anı', 'dah', 'eger', 'hurşîd', 'cân', 'sûret', 'zülf'])
('gevher', ['gel', 'aşk', 'ban', 'çeşm', 'cân', 'gam', 'dil', 'gâlib', 'ver', 'feyz'])
('aşkın', ['âlem', 'mâh', 'kıl', 'çeşm', 'san', 'gel', 'gör', 'dil', 'ver', 'cân'])
('masdar', ['bî-tûşe', '\x17ehîd', 'makbûl', 'esb', 'bulunmuşuz', 'ziyâ', 'fürûi', 'ma’mûr', 'süz', 'teslîm'])
('dâd', ['meh', 'söyle', 'es’ad', 'himmet', 'ihsân', 'zât', 'hîç', 'hayret', 'yer', 'ana'])
('hak', ['âlem', 'mâh', 'aşk', 'gam', 'gâlib', 'dest', 'ban', 'âteş', 'yâr', 'çeşm'])
('kalbî', ['yûsuf', 'âheng', 'almış', 'mecnûn', 'ana', 'bâd', 'han', 'sâgar', 'yanî', 'tîg'])
('çeşm', ['dil', 'gül', 'gâlib', 'aşk', 'cân', 'ver', 'nûr', 'gör', 'zülf', 'kıl'])
('envâr', ['gâlib', 'mâh', 'mey', 'dah', 'mihr', 'dil', 'feyz', 'dest', 'âlem', 'gamze'])
('ihsân', ['dah', 'aşk', 'gevher', 'çeşm', 'dil', 'dest', 'gül', 'cân', 'zülf', 'kıl'])
('râh', ['dil', 'ver', 'kıl', 'gâlib', 'aşk', 'cihân', 'safâ', 'mâh', 'bezm', 'âb'])
('berk', ['gül', 'gör', 'san', 'mihr', 'çeşm', 'gâlib', 'hazret', 'cihân', 'yâr', 'zülf'])
('sefer', ['âşûb', 'târz', 'selîm’in', 'seher', 'dâver', 'sezâ', 'zîb', 'mesrûr', 'âr', 'yek'])
('hız', ['gevher', 'âb', 'hüsnü', 'yâr', 'zülf', 'sûret', 'ehl', 'mihr', 'gül', 'çarh'])
('rehber', ['nigeh', 'bâd', 'eylem', 'görü', 'mevc', 'devr', 'göz', 'nefes', 'nizâm', 'sûz'])
('dü', ['hasret', 'anı', 'bul', 'cân', 'yâr', 'zülf', 'ver', 'hazret', 'gâlib', 'düş'])
('gül', ['çeşm', 'gâlib', 'mihr', 'dil', 'ver', 'yâr', 'âlem', 'cân', 'aşk', 'zülf'])
('rûy', ['aşk', 'cân', 'dil', 'dah', 'hüsnü', 'ban', 'gel', 'âteş', 'hayâl', 'çeşm'])
('sefîd', ['yâr', 'dil', 'gam', 'ehl', 'düş', 'âlem', 'pîr', 'çeşm', 'ruh', 'gör'])
('hâk', ['gâlib', 'aşk', 'zülf', 'ver', 'dil', 'mihr', 'gül', 'cân', 'bil', 'yâr'])
('pây', ['çek', 'mey', 'eger', 'kasr', 'cihân', 'hatt', 'sâkî', 'ver', 'tâze', 'gûyâ'])
('ihdâ', ['âgâh', 'haşr', 'ilm', 'encâm', 'meâl', 'olmaya', 'adl', 'nüh', '–i', 'mevt'])
('himmet', ['gâlib', 'ver', 'gam', 'çeşm', 'cân', 'dah', 'çarh', 'kıl', 'aşk', 'düş'])
('siyâh', ['ney', 'san', 'dil', 'çeşm', 'mihr', 'gâlib', 'âteş', 'gül', 'aşk', 'mahabbet'])
('pâye', ['deryâ-yı', 'yer', 'zemîn', 'murg', 'degildir', 'and', 'bâ', 'gön', 'bülbül', 'sipihr'])
('sıdk', ['şu’le', 'gâlib', 'âlem', 'sultân', 'mey', 'nigâh', 'dil', 'kal', 'himmet', 'mest'])
('dah', ['gâlib', 'aşk', 'kıl', 'dil', 'çeşm', 'ver', 'gam', 'mihr', 'sultân', 'zülf'])
('pençe', ['gûyâ', 'tut', 'hezâr', 'leb', 'söz', 'meh', 'hatt', 'gör', 'kâr', 'etme'])
('şîr', ['ver', 'reng', 'âlem', 'hazret', 'bil', 'gâlib', 'hat', 'kıl', 'aşk', 'sultân'])
('man', ['dil', 'cihân', 'gâlib', 'aşk', 'et', 'zülf', 'gamze', 'ver', 'sırr', 'çeşm'])
('günde', ['mazmûn', 'çıkar', 'dîvâne', 'arz', 'sev', 'esrâr', 'zâhid', 'hemîşe', 'per', 'olduium'])
('leşker', ['çeşm', 'bak', 'mihr', 'nigâh', 'mey', 'cân', 'zülf', 'gör', 'devlet', 'gül'])
('şehenşâh', ['sarf', 'kavl', 'fedâ', 'nâle', 'malûm', 'kudd', 'itirâz', 'nevbet', 'sadâ', 'cemâl'])
('zât', ['çeşm', 'gâlib', 'dil', 'nûr', 'yâr', 'âlem', 'anı', 'kıl', 'sultân', 'ver'])
('elem', ['kasd', 'hâr', 'hudâ', 'hâb', 'zevk', 'kalem', 'zâr', 'şîr', 'yap', 'sor'])
('kalb', ['rütbe', 'hasret', 'dî', 'zülf', 'cihân', 'aşk', 'yâr', 'gam', 'bil', 'anı'])
('pâk', ['dil', 'çeşm', 'âlem', 'gâlib', 'mihr', 'dah', 'hâl', 'hazret', 'sultân', 'aşk'])
('hüsnü', ['gâlib', 'çeşm', 'dil', 'ver', 'cân', 'aşk', 'gül', 'âlem', 'gel', 'kıl'])
('garaz', ['âlem', 'sâkî', 'lutf', 'çarh', 'gâlib', 'lâl', 'bend', 'hemân', 'vasf', 'âşık'])
('arz', ['mey', 'mihr', 'zülf', 'mevc', 'gel', 'gâlib', 'kıl', 'âşık', 'aşk', 'âteş'])
('muhzır', ['füyûz', 'gavta', 'hicâza', 'kâlıb', 'nevmîd', 'tazîm', 'ahterân', 'hayrânı', 'mümkün', 'tecâhül'])
('âfitâb', ['sihr', 'etrâf', 'sefîd', 'rûze', 'vâiz', 'ahbâb', 'tab’', 'rûy', '\x17erîf', 'alır'])
('seyyâh', ['özr', 'sirruhû', 'mairibde', 'pul', 'me’mûr', 'takdîm', 'vâiz', 'fânî', 'giryân', 'nâs'])
('gez', ['baş', 'zîr', 'bâl', 'efend', 'yâr', 'ban', 'bak', 'çemen', 'âlem', 'uşşâk'])
('sal', ['âftâb', 'mey', 'uşşâk', 'âşık', 'nûr', 'hazret', 'dil', 'yâr', 'mâh', 'bil'])
('pertev', ['çeşm', 'feyz', 'mihr', 'gül', 'düş', 'gâlib', 'cân', 'dil', 'gel', 'âlem'])
('kurs', ['fânî', 'melek', 'dur', 'esbâb', 'dede', 'ızhâr', 'velî', 'zümre', 'oldugun', 'saltanat'])
('sâye', ['gâlib', 'nûr', 'hazret', 'dil', 'san', 'çeşm', 'aşk', 'kal', 'âteş', 'âşık'])
('düş', ['dil', 'çeşm', 'gâlib', 'yâr', 'ver', 'kıl', 'aşk', 'zülf', 'ban', 'cân'])
('yer', ['âteş', 'gel', 'gâlib', 'aşk', 'düş', 'lutf', 'dîde', 'hâl', 'anı', 'dil'])
('sergerdân', ['bârût-hâneyi', 'dâire', 'hüşk', 'bâzû', 'meşrik', 'surûr', 'âşıkân', 'fürûi', 'zevrak', 'bihzâd'])
('âdem', ['âteş', 'bak', 'et', 'gâlib', 'gamze', 'ver', 'yer', 'mihr', 'gül', 'san'])
('top', ['kal', 'ver', 'hayret', 'dah', 'gör', 'câm', 'âb', 'bâg', 'aşk', 'lutf'])
('âteş', ['ver', 'gâlib', 'dil', 'ban', 'mâh', 'aşk', 'yâr', 'âlem', 'gel', 'zülf'])
('a’dâ', ['gir', 'zâd', 'olduiun', 'tîi', 'sünbül', 'dâver', 'mecnûn', 'bâga', 'deiil', 'zîb'])
('muzaffer', ['hâtem', 'sâf', 'olduiu', 'fenâ', 'dâm', 'âlî', 'safâ-yı', 'isbât', 'pinhân', 'garaz'])
('re’y', ['kal', 'gâlib', 'âlem', 'sûret', 'himmet', 'ver', 'cân', 'sultân', 'hâk', 'çeşm'])
('akl', ['hân', 'etme', 'hâl', 'aşk', 'cân', 'âşık', 'selîm', 'meh', 'hatt', 'dest'])
('gird', ['kerem-mu’tâdım', 'kon', 'hatm', 'idrâk', 'destâr', 'zulm', 'âlet', 'sedd', 'dürû', 'taş'])
('hayret', ['kıl', 'aşk', 'gâlib', 'gam', 'dil', 'zülf', 'âlem', 'çeşm', 'mâh', 'ver'])
('kal', ['ver', 'gâlib', 'dil', 'çeşm', 'cân', 'gül', 'aşk', 'gel', 'âlem', 'yâr'])
('aynı', ['cünûn', 'gâh', 'yûsuf', 'zevk', 'yâd', 'emr', 'şarâb', 'nigâh', 'git', 'yeter'])
('neyleyim', ['gel', 'çeşm', 'gamze', 'bili', 'gül', 'bul', 'âh', 'dîde', 'ver', 'san'])
('beyt', ['dil', 'san', 'mâh', 'kal', 'gel', 'ver', 'zülf', 'gam', 'şâh', 'ehl'])
('na’t', ['kasd', 'bir', 'safâ-yı', 'kâr', 'hâtır', 'tamâm', 'çîn', 'geç', 'ân', 'bili'])
('lîk', ['kemân', 'ahmed', 'cây', 'almış', 'sâye', 'mevc', 'âyîneden', 're’y', 'âftâb', 'hudâ'])
('evc', ['ehl', 'ban', 'hâk', 'ver', 'kal', 'yâr', 'bend', 'hâl', 'zülf', 'zîr'])
('acz', ['kadr', 'yol', 'hân', 'nigeh', 'han', 'perde', 'kasr', 'manî', 'sitem', 'dildâr'])
('mazmûn', ['lutf', 'sâye', 'bahâr', 'âşık', 'sûret', 'selîm', 'gör', 'cân', 'câm', 'eşk'])
('vasf', ['dil', 'gör', 'çeşm', 'cân', 'kıl', 'gel', 'gâlib', 'aşk', 'hüsnü', 'ban'])
('tulû', ['zemzem', 'tîşe', 'künbed', 'zîver', 'kâmil', 'güzel', 'k', 'atâ', 'misl', 'rengin'])
('add', ['fenn', 'tecellâya', 'saâdet', 'münakkaş', 'adl', 'râhmetullâh', 'kusûr', 'asr', 'bilirem', 'erince'])
('es’ad', ['gâlib', 'zülf', 'gel', 'aşk', 'hâk', 'âteş', 'ver', 'dah', 'şâh', 'sultân'])
('gâlib', ['ver', 'dil', 'aşk', 'çeşm', 'gül', 'mihr', 'kıl', 'zülf', 'gel', 'âlem'])
('hâh', ['pîr', 'gevher', 'nâz', 'şâh', 'sultân', 'safâ', 'tut', 'cân', 'gül', 'hazret'])
('bîh', ['kıymet', 'kızıl', 'husûs', 'şîve', 'serserî', 'tuhfe', 'katre', 'dog', 'çeşme-sâr', 'etdin'])
('sâf', ['hudâ', 'tab’', 'hazret', 'âlem', 'feyz', 'gel', 'ehl', 'nâz', 'gör', 'gönül'])
('ihlâs', ['sür', 'cüst', 'pâ', 'bulunmuşuz', 'derle', 'zümre', 'bas', 'kavl', 'şi’r', 'kûh'])
('velî', ['kâr', 'aşk', 'hat', 'ver', 'kıl', 'hüsnü', 'dil', 'gâlib', 'kal', 'çarh'])
('isyân', ['heb', 'mürg', 'hâs', 'monlâ', 'mihrâb', 'al', 'keşf', 'mümkin', 'leşker', 'emr'])
('gark', ['zîr', 'ver', 'eger', 'âlem', 'âb', 'ehl', 'zülf', 'dil', 'gâlib', 'felek'])
