('cûş', ['gülzâr', 'safâ-yı', 'dil-ber', 'sûret', 'dîvâne', 'yol', 'geç', 'şehr', 'sahn', 'gûyâ'])
('ruhsâr', ['kûy', 'bâkî', 'bul', 'dil', 'mâh', 'hüsn', 'gör', 'yâr', 'la’l', '‘aşk'])
('sîne', ['yâr', 'dil', 'bâkî', 'cân', 'âh', 'gam', 'gül', 'câm', 'gör', 'gel'])
('çâh', ['‘âlemde', 'dehân', '‘arz', 'vasf', 'değerik', 'dün', 'subh', 'iç', 'seyr', 'bend'])
('zekan', ['yârân', 'tâk', 'kıble', 'âdem', 'belâgat', 'nagme', 'temâşâ', 'deger', 'bas', 'kazâ'])
('dök', ['gör', 'gül', 'dil', 'üzre', 'bâkî', 'çemen', 'cân', 'sîne', 'bul', 'meclis'])
('rûy', ['san', 'zülf', 'gör', 'la’l', 'bülbül', 'dil', '‘aşk', 'kıl', 'bâkî', 'gül'])
('tâze', ['düş', 'zülf', 'bâkî', 'çeşm', 'bülbül', 'dil', 'vasl', 'gonca', 'eşk', 'kıl'])
('sünbül', ['gel', 'hâl', 'dil', 'yâr', 'zülf', 'hâk', 'bezm', 'mey', 'bâkî', 'bahâr'])
('kâkül', ['gör', 'bâkıyâ', 'âh', 'yaş', 'kıl', 'felek', 'dil', 'zülf', 'devlet', 'hâl'])
('şiken', ['gark', 'kon', 'dünyâda', 'toz', 'sitâre', 'feth', 'kulak', 'rişte', 'mushaf', 'hayr'])
('câm', ['bâkî', 'dil', 'gül', 'gel', 'hâl', 'yâr', 'cân', 'mey', 'gam', 'bezm'])
('çeşm', ['câm', 'gör', 'yâr', 'bâkî', 'dil', 'gül', 'bil', 'gam', 'kıl', 'ruh'])
('târ', ['âteş', 'bul', 'dehr', 'çarh', '‘aceb', 'tur', 'âb', 'bahâr', 'hüsn', 'bil'])
('şeb', ['iç', 'safâ', 'sultân', 'göz', 'gam', 'şarâb', '‘aşkuñ', 'gül', 'bezm', 'câm'])
('derd', ['yâr', 'dil', 'bâkî', 'baş', 'cân', 'âh', 'san', 'kıl', 'bâg', 'zülf'])
('cây', ['âh', 'hançer', 'san', 'bezm', 'gülşen', 'geçe', 'cihân', 'tur', 'yaz', 'eşk'])
('meger', ['bülbül', 'yâr', 'câm', 'revân', 'çeşm', 'ehl', 'bâkî', 'la’l', 'gonca', 'mâh'])
('teng', ['dîvâne', 'mest', 'cemâl', 'hemân', 'meyl', 'dîde', 'iste', 'hüsn', 'bahâr', 'göster'])
('gonca', ['bâkî', 'dil', 'gör', 'kıl', 'gül', 'ruh', 'gam', 'la’l', 'göñül', 'düş'])
('dehen', ['sal', 'gülşen', 'zâhid', 'sîne', 'devrân', 'ruh', 'nâz', 'ter', 'nakş', 'gûyâ'])
('sev', ['gamze', 'derd', 'iç', 'hâl', 'çeşm', 'tut', 'bul', 'câm', 'göñül', 'ruh'])
('insâf', ['küleng', 'na’îm', 'üstindedür', 'dildâr', 'âbdâr', 'cefâ-yı', 'kesb', 'sanem', 'devri', '‘uşşâka'])
('âşık', ['i̇rdi', 'gerd', 'hân', 'nev-bahâr', 'elif', 'del', 'pervâne', 'perîşân', 'dil-rübâ', 'giceler'])
('gâh', ['bâkıyâ', 'değeri', 'çemen', 'âh', 'şâh', 'dil', 'gör', 'yâr', 'eger', 'âyîn'])
('şûh', ['cân', 'dil', 'bâkî', 'yâr', 'câm', 'ruh', 'çeşm', 'düş', 'gül', 'hâk'])
('vasf', ['gam', 'bâkî', 'yâr', 'la’l', 'câm', 'çeşm', 'bâd', 'eşk', 'kıl', 'leb'])
('bili', ['nazm', 'söz', '‘âlem', 'zahm', 'kûy', 'gevher', 'gûyâ', 'nakş', 'gör', 'yaş'])
('kasd', ['üzre', 'mihr', 'mâh', 'çemen', 'san', 'âb', 'ruh', 'tîr', '‘aşk', 'âh'])
('iste', ['bâkî', 'dil', 'gel', 'yâr', 'hâk', 'cân', 'mey', 'câm', 'âh', 'bil'])
('tavr', ['güldür', 'itdükçe', 'bihişt', 'magrûr', 'dânâ', 'günbed', 'tıfl', 'iriz', '‘izz', 'nizâ'])
('dâd', ['ken', 'açı', 'şehr', 'piyâle', 'dah', 'nihâl', 'tur', 'saç', 'vasl', 'nâb'])
('mahsûl', ['bâga', 'döner', 'hudâ', '‘aşkı', 'çekme', 'akar', 'şafak', 'zamâne', 'vakt', 'incin'])
('dü', ['dil', 'yâr', 'mâh', 'çeşm', 'gör', 'gül', 'gam', 'mey', 'gün', 'çemen'])
('şemşîr', ['kıl', 'bâkî', 'mihr', 'gel', 'gül', 'cân', 'yâr', 'serv', 'şâh', 'üzre'])
('zafer', ['dermân', 'lü’lû-yı', 'eyleyüp', 'gedâ', 'mecrûh', 'eylez', 'olupdur', 'yat', 'art', 'seng'])
('bekâ', ['piyâle', 'firâk', 'zamân', 'meded', 'and', 'incin', 'gümş', 'ya’nî', 'agyâr', 'hûbân'])
('berk', ['elde', 'sev', '‘aşkı', 'kalem', 'nâb', 'zülâl', 'söyle', 'velî', '‘arz', 'revân'])
('hır', ['‘âşıka', 'çâk', 'geşt', 'bud', 'degüldür', 'ter', 'zülâl', 'bîmâr', 'tol', 'öldür'])
('sipihr', ['bâkî', 'tut', 'bâkıyâ', 'bülbül', 'san', 'cân', 'yâr', 'gün', 'zülf', 'la’l'])
('fark', ['yâr', 'cânân', 'çarh', 'mâh', 'baş', 'derd', 'göz', 'zülf', 'yaş', 'serv'])
('âhen', ['‘işret', 'bârî', 'hezâr', 'dile', 'hod', 'gülistân', 'salı', 'gülle', 'minnet', 'şekl'])
('sadr', ['yana', 'âşüfte', '‘âleme', 'mülk', 'sâkıyâ', 'kaş', 'gül-gûn', 'âfitâb', 'gülle', 'hokka'])
('bul', ['yâr', 'bâkî', 'gel', 'gör', 'dil', 'âh', 'kûy', 'bil', 'gam', 'gül'])
('ebrû', ['cân', 'la’l', 'gonca', 'bâd', 'baş', 'kıl', 'bâkî', 'şarâb', 'gamze', 'hançer'])
('tâk', ['belâ', 'hançer', 'gülşen', 'geçe', 'dil', '‘âlem', 'devr', '‘aceb', 'göz', 'ruh'])
('gerdûn', ['ter', 'mahabbet', 'güzel', 'geçe', 'hüsn', 'dâg', 'bahr', 'hâl', 'nakş', 'dîde'])
('şafak', ['sünbül', 'dah', 'zâr', 'sev', 'tâb', 'bahr', 'mir’ât', 'kân', 'hûrşîd', 'çarh'])
('zevrak', ['hecr', 'hüsn', 'bülbül', 'la’l', 'mey', 'tur', 'hâl', 'üzre', 'gam', 'gör'])
('harem', ['zâr', 'sırr', 'zâhid', 'görü', 'geç', 'ş', 'diyü', 'şâh', 'mâh', 'söz'])
('fazl', ['bil', 'leb', 'seyr', 'eger', 'gülşen', 'çemen', 'âh', 'lutf', 'serv', 'hüsn'])
('bister', ['gaflet', 'hakîkat', 'riyâ', 'ele', 'değerik', 'tok', 'nâzük', 'ceng', 'incin', 'meydân'])
('ikbâl', ['mihnet', 'değeriz', 'çemen', 'bezm', 'yit', 'vasf', 'hüsn', 'bâkıyâ', 'gül', 'yan'])
('gûy', ['bahâr', 'ruhsâr', 'nev-bahâr', 'sûret', 'felek', 'kâmet', 'şem’', 'bul', 'gûş', 'kûy'])
('micmer', ['meded', 'kadeh', 'hâlet', 'cevr', 'yaz', 'çemen', 'hûrşîd', 'vasl', 'kaç', 'pâk'])
('meh', ['düş', 'san', 'gel', 'belâ', 'la’l', 'dil', 'leb', 'zülf', 'mâh', 'kıl'])
('püser', ['karşu', 'la’lîn', 'hazân', 'gülsitân', 'reng', 'sûz', 'sitâre', 'bundadur', 'müje', 'zülâl'])
('câh', ['hüsnü', 'naza', 'kadd', 'devlet', 'bezm', 'dü', 'dil-ber', 'çemen', 'salı', '‘âşık'])
('peder', ['câmveş', 'bîd', 'i̇şigüñ', 'mecmû’', 'serrâc', 'olıcak', 'agyârı', 'kıpkızıl', 'mevzû', '‘aklumı'])
('dî', ['sabâ', 'mecnûn', 'lâl', 'hâtır', 'felek', '‘aceb', 'dîde', 'değeri', 'kıl', 'hemân'])
('hat', ['gam', 'baş', 'dil', 'çeşm', 'mâh', 'kıl', 'tut', '‘aşk', 'safâ', 'yâr'])
('hükm', ['rakîb', 'hat', 'gûyâ', 'sûfî', 'zencîr', 'zer', 'mey', 'saç', 'belâ', 'nihâl'])
('yazı', ['yat', 'sünbül', 'gûyâ', 'belâ', 'çeng', 'nigâr', 'mihr', 'tâze', 'hemân', 'iç'])
('eger', ['gel', 'câm', 'dil', 'mey', 'bâkî', 'cân', 'gör', 'gül', 'hâk', 'bezm'])
('cûd', ['etrâf', 'güftâr', 'encüm', 'enver', 'sîmîn', 'i̇ki', 'cennet', 'git', 'kemâl', 'na’l'])
('keştî', ['sultân', 'devlet', 'künc', 'visâl', 'râh', 'değeriz', 'dah', 'la’l', 'çeşm', 'eşk'])
('döner', ['dâg', 'devlet', 'la’l', 'rûy', 'üzre', 'halk', 'zerd', 'kâmet', 'güzel', 'zer'])
('yem', ['hayâl', 'hâk', 'zerd', 'terk', 'mest', 'hemân', 'kadd', '‘aceb', 'mihr', 'bâg'])
('düş', ['dil', 'gör', 'gül', 'bâkî', 'gel', 'âh', 'sîne', 'yâr', 'gam', 'câm'])
('feyz', ['deryâ', 'âb', 'devlet', 'güzel', 'gam', 'gel', 'şevk', 'çemen', 'and', 'eger'])
('nazar', ['gurbet', 'hayf', 'göñlüme', 'dâ’im', 'akıt', 'ser-efrâz', 'nite', 'ciger', 'peri', 'selîm'])
('âyîn', ['dil', 'bâkî', 'kıl', 'bülbül', 'eşk', 'bâkıyâ', 'yâr', 'kal', 'sîne', 'gör'])
('çemen', ['dil', 'gül', 'bâkî', 'câm', 'gör', 'cân', 'yâr', 'âh', 'gam', 'sîne'])
('ârâm', ['eylem', 'bend', '‘aşka', 'sûret', 'şûh', 'çek', 'vasl', 'seyr', 'yaş', 'safâ'])
('katre', ['‘âşık', 'mey', 'eşk', 'bil', 'leb', 'âb', 'gül', 'kıl', 'tut', 'hat'])
('vatan', ['kanla', 'gül-şen', 'elinden', 'feyz', 'gerdûn', 'cür’a', 'kand', 'sikender', 'değeriş', 'kühl'])
('kahr', ['kâmet', '‘aceb', 'hayâl', 'serv', 'felek', 'tur', 'san', 'hâk', 'âh', 'gam'])
('fermân', ['âbdâr', 'ko', 'yârân', 'hâme', 'döner', 'eylem', 'dildâr', 'göñlüm', 'bilz', 'götür'])
('bâd', ['yâr', 'gül', 'kûy', 'bâkî', 'cân', 'gam', 'dil', 'kıl', 'la’l', 'düş'])
('bâğ', ['şikeste', 'seng', 'zülâl', 'geç', 'husrev', '‘aşkı', 'halka', 'tîg', 'bâd', 'devrân'])
('zinhâr', ['değeriş', 'kâkül', 'öykü', 'gülle', 'sanem', 'minnet', 'bâl', 'hat', 'söz', 'değeriz'])
('ebed', ['alup', 'bâguñ', 'perî', 'halâs', 'mû', 'turmayup', 'ta’n', 'vakt', 'hâlet', 'gey'])
('kal', ['yâr', 'bâkî', 'dil', 'kıl', 'sîne', 'bâkıyâ', 'bâg', 'câm', 'gül', 'âh'])
('nakş', ['gül', 'dil', 'zülf', 'yâr', 'kıl', 'bâkî', 'derd', 'eşk', 'bil', 'kûy'])
('tavk', ['biñ', 'merd', 'semend', 'dâg', 'harâb', 'olmayıcak', 'tîr', 'eylem', 'seyl', 'nazm'])
('gör', ['dil', 'cân', 'bâkî', 'kıl', 'gam', 'hâl', 'yâr', 'gül', 'bâkıyâ', 'gel'])
('zen', ['hatâ', 'n’eylesün', 'gaflet', 'akı', 'eksük', 'vücûd', 'âhû', 'degüldür', 'resm', 'mâ'])
('esbâb', ['ârzû', '‘azm', 'zevrak', 'ka’b', 'nev-bahâr', 'bâm', 'katre', 'fa’ûlün', '‘âlemde', 'kabak'])
('haşr', ['harc', 'ra’nâ', 'işit', 'kesret', 'bî-çâre', 'gelz', 'fasl', 'fânî', 'bisât', 'perî'])
('tut', ['bâkî', 'dil', 'kıl', 'baş', 'mâh', 'yâr', 'çeşm', 'gam', 'gül', 'gör'])
('kûh', ['naza', 'leb', 'hâtır', 'devlet', 'cemâl', 'mey', 'bil', 'baş', 'rûşen', 'miyân'])
('rez', ['gün', 'safâ', 'ehl', 'cevr', 'dâg', 'bend', 'bahâr', 'mâh', 'san', 'nâle'])
('gûş', ['bil', 'sîne', 'tut', 'yâr', 'câm', 'bâkî', 'meclis', 'düş', 'gül', 'bul'])
('harf', ['kalb', 'reftâr', 'meyl', 'pâre', 'himmet', 'izhâr', 'minnet', 'ebr', 'kand', 'söz'])
('dârâ', ['ten', 'âfitâb', 'geçe', 'zerd', 'nakş', 'çarh', 'çık', 'dîde', 'çıkar', 'bahr'])
('gülşen', ['bâkî', '‘aşk', 'gel', 'la’l', 'gül', 'dil', 'yâr', 'çeşm', 'âh', 'üzre'])
('fer', ['‘aşkuñ', 'halka', 'gûyâ', 'yit', 'miyân', 'zer', 'kûy', 'mâh', 'devlet', 'görz'])
('hilâl', ['gör', 'iç', 'eşk', 'bahâr', 'zülf', 'gel', 'kıl', 'hüsn', 'dehr', 'düş'])
('lutf', ['gel', 'seyr', 'yâr', 'âb', 'bâg', 'bâkî', 'âh', 'üzre', 'gam', 'dil'])
('şeker', ['ârzû', 'gûş', 'midür', 'giryân', 'ceng', 'çıkmaya', 'zîr', 'fikr', 'zamân', 'çâk'])
('han', ['çeng', 'yig', 'güher', 'şi’r', 'gâh', 'sîr-âb', 'hayrân', 'cûy', 'jâle', 'şîşe'])
('nefes', ['hergiz', 'miyân', 'devlet', 'kara', 'terk', 'cemâl', 'sahbâ', 'geh', 'beñzer', 'devr'])
('külhan', ['eksük', 'rind', 'hicrân', 'ihsân', 'zehî', 'kühl', 'i̇ki', '‘izzet', 'âsmân', 'hâtır'])
('eser', ['hâk', 'felek', 'râh', 'hançer', 'cân', 'göz', 'kûy', 'derd', 'ş', 'ehl'])
('müşkil', ['‘ayş', 'pâk', 'kan', 'göz', 'meger', 'değeri', 'câm', 'vasf', 'derd', 'baş'])
('felek', ['gül', 'dil', 'hâk', 'gör', 'bâkî', 'cân', 'câm', 'çemen', 'gam', 'kıl'])
('siper', ['get', 'jâle', 'mıdur', 'halka', 'gûyiyâ', 'meydân', 'değeri', '‘âlemi', 'baht', 'çeker'])
('nîze', ['koy', 'zerd', 'naza', 'git', 'devlet', 'hîç', 'boy', 'vire', 'taht', 'zîr'])
('tâkat', ['olmayıcak', 'mânend', 'subh', 'na’l', 'bud', 'sultân', 'anı', 'çık', 'miyân', 'devlet'])
('hod', ['‘aşka', 'derd', 'hırâmân', 'bul', 'seyr', 'ş', 'hüsn', 'gülzâr', 'güzel', 'şûh'])
('baş', ['dil', 'bâkî', 'gel', 'gam', 'yâr', 'zülf', 'serv', 'cân', 'derd', 'mâh'])
('kayd', ['dehr', 'hayâl', 'sahn', 'bâ’is', 'anı', 'bâkî', 'neydügin', 'gider', 'şarâb', 'sultân'])
('göz', ['dil', 'câm', 'cân', 'bâkî', '‘aşk', 'la’l', 'gör', 'hâk', 'yâr', 'kûy'])
('nev', ['çeker', 'çeşm', 'felek', 'gör', 'bend', 'bezm', 'cân', 'bil', 'tut', 'mey'])
('san', ['kıl', 'dil', 'bâkî', 'yâr', 'gör', 'âh', 'gam', 'gül', 'şâh', 'gel'])
('dest', ['göñül', 'mey', 'yâr', 'gam', 'gonca', 'mâh', 'düş', '‘aceb', 'tut', 'dil'])
('kemân', ['cânân', 'ruh', 'kıl', 'safâ', 'hâk', 'derd', 'yâr', 'dil', 'bak', 'göz'])
('hâk', ['yâr', 'bâkî', 'gül', 'mâh', 'câm', 'gam', 'dil', 'cân', 'gel', 'mey'])
('gûşe', ['zülf', 'baş', 'serv', 'san', '‘âşık', 'şevk', 'çeşm', 'geçe', 'gülşen', 'berg'])
('gir', ['bil', 'dil', 'bâkî', 'çemen', 'kıl', 'gör', 'vasl', 'san', 'câm', 'yâr'])
('sûret', ['serv', 'dil', 'gör', 'cân', 'san', 'kıl', 'gün', 'çemen', 'ruh', 'bâkî'])
('geç', ['bâg', 'mihr', 'san', 'kıl', 'göñül', 'şâh', 'sîne', 'gam', 'bâkî', 'dil'])
('sâye', ['gam', 'gül', 'nakş', 'hâk', '‘aceb', 'meclis', 'üzre', 'hâl', 'felek', 'göz'])
('cilve', ['‘arz', 'mahabbet', '‘âşık', 'vasf', 'çarh', 'nâle', 'bil', 'leb', 'mihr', 'ş'])
('esrâr', ['baş', 'hûrşîd', 'şâh', 'mâh', 'düş', 'tut', 'serv', 'sahn', 'şevk', 'anı'])
('kıl', ['yâr', 'gül', 'bâkî', 'dil', 'gör', 'san', 'gam', 'zülf', 'gel', 'âh'])
('lafz', ['ata', 'bâga', 'riyâ', 'ham', 'gerekse', 'yıka', 'serd', 'dendân', 'kesret', 'git'])
('beden', ['râz', 'sal', 'geç', 'bend', 'künc', 'hatt', 'hicrân', 'sünbül', 'zâhid', 'nihân'])
('hevâ', ['iç', 'çeşm', 'mihr', 'gamze', 'serv', 'dîde', 'hâk', 'gel', 'kıl', 'yaş'])
('bük', ['hazret', 'çîn', 'devr', 'hak', 'bahâr', 'nihâl', 'ruhsâr', 'defter', '‘arz', 'bul'])
('basît', ['bâlâ', 'ezel', 'hân', 'sipihr', 'cem', 'gerekse', 'zebûn', 'kâkül', 'reh', 'dile'])
('arz', ['i̇rdi', 'kanla', 'bâ’is', 'hâme', 'çîn', 'la’lîn', 'safha', 'sünbül', 'nûş', 'lutf'])
('zîr', ['bâkıyâ', 'gün', 'hâl', 'mâh', '‘aceb', 'zülf', 'kal', 'bezm', 'bâd', 'felek'])
('pûlâd', ['olupdur', 'cânân', 'fark', 'müje', 'söyle', 'sâkî', 'şevk', 'gamze', 'kenâr', 'devr'])
('hırâmân', ['mâh', 'bil', 'derd', 'rûy', 'san', 'ruh', 'sâkî', 'bâg', 'sîne', 'göster'])
('cism', ['câm', 'dü', 'bâkıyâ', 'çeşm', 'mey', 'bâkî', 'san', 'bil', 'şâh', 'sîne'])
('âlem', ['nefes', 'nev-bahâr', 'beñzetdüm', 'mûy', 'kadr', 'ka’b', 'ayagına', 'âzâd', 'hayâ', 'reftâr'])
('zemîn', ['bâg', 'sîne', 'gel', 'âh', 'dil-ber', 'bâkıyâ', 'hâl', 'vasl', '‘aşk', 'gam'])
('süm', ['giryân', 'zevrak', 'tâvûs', 'ka’b', 'ezel', 'şîve', 'seng', 'gerdûn', 'dîvâne', 'diyü'])
('raks', ['meyl', 'sünbül', 'lutf', 'lâl', 'saç', 'yâd', '‘aceb', 'bâ’is', 'nakş', 'halk'])
('hâ', ['kişi', 'nûrı', 'hey', 'şîr', 'ta’n', 'gussa', 'dînârdur', 'fenn', 'ser-fürû', 'ucından'])
('görü', ['seyr', '‘aşk', 'hâl', 'mey', 'bâkî', 'gam', 'dil-ber', 'baş', 'bil', '‘âşık'])
('âzâr', ['sipihr', 'naza', 'sanem', '‘ârif', 'iste', 'pertev', 'nâfe', 'hilâl', 'sabâ', 'maksûd'])
('sem', ['gül-gûn', 'hâtır', 'visâl', 'nûş', 'pây', 'cennet', 'dök', 'mecnûn', 'gâyet', 'handân'])
('cümle', ['gülzâr', 'tâb', 'çek', 'ter', 'vasf', 'ehl', 'gel', 'la’l', 'leb', 'cennet'])
('serd', ['sahbâ', 'şi’r', 'seher', 'dile', 'mahabbet', 'râh', 'bud', 'dön', 'sultân', 'âsmân'])
('nâm', ['şem’', 'nâle', 'baht', 'şûh', 'çeker', 'şâh', 'bâkî', 'çarh', 'güzel', 'serv'])
('kod', ['gök', 'bak', 'kenâr', 'geh', 'âteş', 'gülzâr', 'sal', 'devrân', 'derûn', 'kand'])
('münevver', ['bahs', '‘arz', 'çekme', 'bâl', 'geh', 'velî', 'ele', 'hazân', 'bend', 'gûyiyâ'])
('şems', ['diyü', 'gülşen', 'tâze', 'pâk', 'söyle', 'mest', 'âsmân', 'mahabbet', 'sâkî', 'zahm'])
('şebîh', ['sayd', 'hemîşe', 'get', 'diyü', 'sadef', '‘arz', 'merd', '‘ayşa', 'kevkeb', 'cennet'])
('tarf', ['kızar', 'kân', 'letâfet', 'ana', 'âdem', 'zehî', 'eylez', 'tâbân', 'kâfi', 'dâ’im'])
('zebân', ['âvâre', 'hvân', 'menzil', 'deryâ-yı', 'belâgat', 'kûh', 'dizş', 'nev-bahâr', 'tâbân', 'feyz'])
('şîr', ['zîr', 'bülbül', 'vasf', 'bend', 'devrân', 'hüsn', 'san', 'nakş', 'hâk', 'cânân'])
